Geneid	SRR14612091_myofibroblast_male
ENSSSCG00000004439	20
ENSSSCG00000004440	133
ENSSSCG00000004441	2321
ENSSSCG00000004442	0
ENSSSCG00000004443	61
ENSSSCG00000004444	0
ENSSSCG00000004445	0
ENSSSCG00000004446	487
ENSSSCG00000004447	0
ENSSSCG00000004448	0
ENSSSCG00000004449	0
ENSSSCG00000004450	0
ENSSSCG00000004451	0
ENSSSCG00000004452	328
ENSSSCG00000004453	0
ENSSSCG00000004454	1008
ENSSSCG00000004455	78
ENSSSCG00000004456	941
ENSSSCG00000004457	588
ENSSSCG00000004458	644
ENSSSCG00000004459	28
ENSSSCG00000004460	963
ENSSSCG00000004461	326
ENSSSCG00000020262	0
ENSSSCG00000004462	34
ENSSSCG00000020103	0
ENSSSCG00000004463	0
ENSSSCG00000004464	202
ENSSSCG00000004465	20
ENSSSCG00000004466	174
ENSSSCG00000004467	55
ENSSSCG00000004468	0
ENSSSCG00000004469	1
ENSSSCG00000019998	0
ENSSSCG00000004470	312
ENSSSCG00000004471	11
ENSSSCG00000004472	32
ENSSSCG00000004473	309
ENSSSCG00000004474	0
ENSSSCG00000004475	931
ENSSSCG00000004476	0
ENSSSCG00000004477	0
ENSSSCG00000004478	501
ENSSSCG00000019589	0
ENSSSCG00000020280	0
ENSSSCG00000020416	0
ENSSSCG00000004479	324
ENSSSCG00000004480	282
ENSSSCG00000004481	1037
ENSSSCG00000004482	19226
ENSSSCG00000004483	296
ENSSSCG00000004484	36511
ENSSSCG00000019305	0
ENSSSCG00000019933	0
ENSSSCG00000004485	3853
ENSSSCG00000004486	86
ENSSSCG00000004487	186
ENSSSCG00000004488	11
ENSSSCG00000004489	95794
ENSSSCG00000004490	275
ENSSSCG00000018364	0
ENSSSCG00000004491	0
ENSSSCG00000004492	0
ENSSSCG00000004493	0
ENSSSCG00000004494	70
ENSSSCG00000004495	1
ENSSSCG00000004496	32
ENSSSCG00000004497	1
ENSSSCG00000004498	63
ENSSSCG00000004499	4521
ENSSSCG00000004500	152
ENSSSCG00000004501	0
ENSSSCG00000004502	0
ENSSSCG00000004503	0
ENSSSCG00000004504	3
ENSSSCG00000004505	422
ENSSSCG00000004506	508
ENSSSCG00000004507	459
ENSSSCG00000004508	440
ENSSSCG00000004509	5802
ENSSSCG00000004510	122
ENSSSCG00000020045	2
ENSSSCG00000020491	0
ENSSSCG00000004511	4
ENSSSCG00000004512	0
ENSSSCG00000004513	0
ENSSSCG00000004514	11
ENSSSCG00000004515	4
ENSSSCG00000004516	218
ENSSSCG00000004517	293
ENSSSCG00000004518	46
ENSSSCG00000004519	5
ENSSSCG00000004520	17
ENSSSCG00000004521	0
ENSSSCG00000004522	822
ENSSSCG00000004523	89
ENSSSCG00000019329	0
ENSSSCG00000004524	1595
ENSSSCG00000004525	526
ENSSSCG00000004526	0
ENSSSCG00000004527	15
ENSSSCG00000004528	1652
ENSSSCG00000004529	84
ENSSSCG00000004530	34
ENSSSCG00000004531	169
ENSSSCG00000004532	0
ENSSSCG00000004533	4
ENSSSCG00000004534	0
ENSSSCG00000019922	0
ENSSSCG00000004535	1004
ENSSSCG00000020381	0
ENSSSCG00000004536	0
ENSSSCG00000004537	1402
ENSSSCG00000004538	342
ENSSSCG00000004539	0
ENSSSCG00000004540	0
ENSSSCG00000004541	307
ENSSSCG00000004542	3983
ENSSSCG00000004543	148
ENSSSCG00000004544	591
ENSSSCG00000004545	0
ENSSSCG00000004546	121
ENSSSCG00000004547	410
ENSSSCG00000004548	16
ENSSSCG00000004549	40
ENSSSCG00000004550	660
ENSSSCG00000004551	831
ENSSSCG00000004552	189
ENSSSCG00000004553	74
ENSSSCG00000004554	88
ENSSSCG00000004555	21
ENSSSCG00000004556	846
ENSSSCG00000004557	1454
ENSSSCG00000004558	112
ENSSSCG00000004559	66
ENSSSCG00000004560	0
ENSSSCG00000004561	1886
ENSSSCG00000018577	0
ENSSSCG00000020403	0
ENSSSCG00000004562	12
ENSSSCG00000004563	137
ENSSSCG00000004564	35
ENSSSCG00000004565	1
ENSSSCG00000004566	181
ENSSSCG00000004567	14
ENSSSCG00000004568	766
ENSSSCG00000004569	148
ENSSSCG00000004570	35193
ENSSSCG00000004571	545
ENSSSCG00000018544	0
ENSSSCG00000019618	0
ENSSSCG00000019471	0
ENSSSCG00000004572	3
ENSSSCG00000004573	0
ENSSSCG00000004574	1881
ENSSSCG00000004575	5187
ENSSSCG00000004576	127
ENSSSCG00000004577	166
ENSSSCG00000004578	11800
ENSSSCG00000004579	0
ENSSSCG00000004580	0
ENSSSCG00000004581	0
ENSSSCG00000020189	0
ENSSSCG00000004582	249
ENSSSCG00000004583	169
ENSSSCG00000004584	3
ENSSSCG00000004585	163
ENSSSCG00000004586	89
ENSSSCG00000004587	1950
ENSSSCG00000018846	3
ENSSSCG00000004588	162
ENSSSCG00000004589	467
ENSSSCG00000004590	124
ENSSSCG00000004591	58
ENSSSCG00000004592	232
ENSSSCG00000004593	30
ENSSSCG00000004594	0
ENSSSCG00000004595	1373
ENSSSCG00000004596	20
ENSSSCG00000019377	0
ENSSSCG00000004597	0
ENSSSCG00000004598	41
ENSSSCG00000004599	173
ENSSSCG00000004600	1539
ENSSSCG00000018304	0
ENSSSCG00000004601	8
ENSSSCG00000019826	0
ENSSSCG00000004602	7
ENSSSCG00000018434	0
ENSSSCG00000020082	0
ENSSSCG00000004603	613
ENSSSCG00000004604	91
ENSSSCG00000004605	0
ENSSSCG00000004606	8
ENSSSCG00000004607	313
ENSSSCG00000004608	18
ENSSSCG00000004609	234
ENSSSCG00000004610	1784
ENSSSCG00000018806	2
ENSSSCG00000004611	187
ENSSSCG00000004612	95
ENSSSCG00000004613	421
ENSSSCG00000004614	4
ENSSSCG00000004615	0
ENSSSCG00000004616	2
ENSSSCG00000004617	1312
ENSSSCG00000004618	1315
ENSSSCG00000004619	1265
ENSSSCG00000004620	1584
ENSSSCG00000004621	0
ENSSSCG00000004622	283
ENSSSCG00000004623	0
ENSSSCG00000004624	2104
ENSSSCG00000004625	152
ENSSSCG00000004626	544
ENSSSCG00000004627	133
ENSSSCG00000004628	37
ENSSSCG00000004629	13
ENSSSCG00000004630	1
ENSSSCG00000004631	383
ENSSSCG00000004632	21
ENSSSCG00000004633	37
ENSSSCG00000004634	374
ENSSSCG00000004635	530
ENSSSCG00000004636	1053
ENSSSCG00000004637	8791
ENSSSCG00000020575	0
ENSSSCG00000004638	16
ENSSSCG00000004639	852
ENSSSCG00000004640	83
ENSSSCG00000004641	0
ENSSSCG00000004642	0
ENSSSCG00000004643	0
ENSSSCG00000004644	0
