Geneid	SRR14612095_fibroblast_female
ENSSSCG00000004783	0
ENSSSCG00000004784	138
ENSSSCG00000004785	767
ENSSSCG00000004786	314
ENSSSCG00000004787	61
ENSSSCG00000004788	0
ENSSSCG00000018837	0
ENSSSCG00000004789	182180
ENSSSCG00000004791	1
ENSSSCG00000004792	439
ENSSSCG00000004793	719
ENSSSCG00000004794	0
ENSSSCG00000018872	0
ENSSSCG00000019801	0
ENSSSCG00000004795	124
ENSSSCG00000004796	0
ENSSSCG00000018908	0
ENSSSCG00000004797	0
ENSSSCG00000019291	0
ENSSSCG00000018160	0
ENSSSCG00000019005	0
ENSSSCG00000004798	20
ENSSSCG00000004799	68
ENSSSCG00000004800	1219
ENSSSCG00000004801	781
ENSSSCG00000004802	442
ENSSSCG00000004803	1785
ENSSSCG00000004804	1858
ENSSSCG00000004805	0
ENSSSCG00000004806	482
ENSSSCG00000004807	21
ENSSSCG00000004808	4
ENSSSCG00000004809	36
ENSSSCG00000004810	0
ENSSSCG00000004811	0
ENSSSCG00000004812	1538
ENSSSCG00000004813	40
ENSSSCG00000004814	944
ENSSSCG00000004815	1614
ENSSSCG00000004816	23
ENSSSCG00000018345	0
ENSSSCG00000004817	92
ENSSSCG00000004818	13
ENSSSCG00000019757	0
ENSSSCG00000004819	0
ENSSSCG00000004820	117
ENSSSCG00000004821	103
ENSSSCG00000004822	1326
ENSSSCG00000019106	0
ENSSSCG00000018227	0
ENSSSCG00000004823	468
ENSSSCG00000004824	271
ENSSSCG00000004825	2144
ENSSSCG00000004826	906
ENSSSCG00000018906	0
ENSSSCG00000019280	0
ENSSSCG00000018975	0
ENSSSCG00000004827	0
ENSSSCG00000004828	0
ENSSSCG00000004829	74
ENSSSCG00000004830	711
ENSSSCG00000004831	2
ENSSSCG00000004832	1135
ENSSSCG00000019388	0
ENSSSCG00000019409	0
ENSSSCG00000019878	0
ENSSSCG00000019155	0
ENSSSCG00000020399	0
ENSSSCG00000018361	0
ENSSSCG00000019818	0
ENSSSCG00000018174	0
ENSSSCG00000018351	0
ENSSSCG00000020442	0
ENSSSCG00000020119	0
ENSSSCG00000018141	0
ENSSSCG00000004833	618
ENSSSCG00000019192	0
ENSSSCG00000004834	393
ENSSSCG00000004835	40
ENSSSCG00000004836	1
ENSSSCG00000004838	15
ENSSSCG00000004839	0
ENSSSCG00000019568	0
ENSSSCG00000004840	13
ENSSSCG00000004841	50
ENSSSCG00000004842	272
ENSSSCG00000004843	2
ENSSSCG00000019509	0
ENSSSCG00000004844	495
ENSSSCG00000004845	494
ENSSSCG00000004846	172
ENSSSCG00000004847	297
