Geneid	SRR14612087_fibroblast_male
ENSSSCG00000004637	13883
ENSSSCG00000020575	0
ENSSSCG00000004638	22
ENSSSCG00000004639	1019
ENSSSCG00000004640	85
ENSSSCG00000004641	0
ENSSSCG00000004642	0
ENSSSCG00000004643	1
ENSSSCG00000004644	0
ENSSSCG00000004645	114
ENSSSCG00000004646	10
ENSSSCG00000004647	505
ENSSSCG00000004648	33
ENSSSCG00000004649	645
ENSSSCG00000004650	372
ENSSSCG00000004651	383
ENSSSCG00000004652	674
ENSSSCG00000004653	1325
ENSSSCG00000004654	38
ENSSSCG00000004655	4
ENSSSCG00000004656	395
ENSSSCG00000004657	72
ENSSSCG00000004658	60376
ENSSSCG00000004659	15
ENSSSCG00000004660	0
ENSSSCG00000004661	187
ENSSSCG00000004662	75
ENSSSCG00000004663	131
ENSSSCG00000019772	0
ENSSSCG00000020376	0
ENSSSCG00000004664	0
ENSSSCG00000004665	2001
ENSSSCG00000004666	514
ENSSSCG00000004667	118
ENSSSCG00000004668	130
ENSSSCG00000004669	250
ENSSSCG00000004670	15
ENSSSCG00000018328	0
ENSSSCG00000004671	157
ENSSSCG00000004672	188
ENSSSCG00000004673	0
ENSSSCG00000004674	70
ENSSSCG00000004675	4
ENSSSCG00000004676	0
ENSSSCG00000004677	0
ENSSSCG00000004678	0
ENSSSCG00000019275	0
ENSSSCG00000004679	39
ENSSSCG00000004680	0
ENSSSCG00000004681	0
ENSSSCG00000004682	2441
ENSSSCG00000004683	0
ENSSSCG00000004684	607
ENSSSCG00000004685	276
ENSSSCG00000004686	147
ENSSSCG00000004687	2401
ENSSSCG00000004688	0
ENSSSCG00000004689	354
ENSSSCG00000004690	254
ENSSSCG00000004691	296
ENSSSCG00000004692	146
ENSSSCG00000004693	287
ENSSSCG00000004694	0
ENSSSCG00000004695	52
ENSSSCG00000004696	768
ENSSSCG00000004697	252
ENSSSCG00000004698	103
ENSSSCG00000018734	707
ENSSSCG00000004699	2
ENSSSCG00000004700	17294
ENSSSCG00000018230	3
ENSSSCG00000004701	85
ENSSSCG00000019464	0
ENSSSCG00000004702	0
ENSSSCG00000004703	0
ENSSSCG00000004704	61
ENSSSCG00000004705	3777
ENSSSCG00000020607	0
ENSSSCG00000004706	526
ENSSSCG00000020229	0
ENSSSCG00000004707	475
ENSSSCG00000004708	315
ENSSSCG00000004709	343
ENSSSCG00000004710	83
ENSSSCG00000004711	118
ENSSSCG00000004712	0
ENSSSCG00000004713	11
ENSSSCG00000004714	4
ENSSSCG00000004715	187
ENSSSCG00000004716	11
ENSSSCG00000004717	488
ENSSSCG00000004718	331
ENSSSCG00000004719	104
ENSSSCG00000004720	116
ENSSSCG00000004721	30
ENSSSCG00000004722	54
ENSSSCG00000004723	27
ENSSSCG00000004724	212
ENSSSCG00000004725	1568
ENSSSCG00000004726	386
ENSSSCG00000004727	696
ENSSSCG00000004728	1
ENSSSCG00000004729	4
ENSSSCG00000004730	611
ENSSSCG00000004731	794
ENSSSCG00000004732	0
ENSSSCG00000004733	0
ENSSSCG00000004734	0
ENSSSCG00000004735	240
ENSSSCG00000004736	0
ENSSSCG00000004737	16
ENSSSCG00000004738	216
ENSSSCG00000004739	798
ENSSSCG00000004740	110
ENSSSCG00000004741	18
ENSSSCG00000004742	127
ENSSSCG00000018507	0
ENSSSCG00000004743	1
